timestamp,Xsensor
0,-9.638860000000001
5000,-9.75226
10000,-8.92282
15000,-8.36422
20000,-6.323510000000001
25000,-3.7113
30000,-1.53636
35000,14.7237
40000,15.111400000000001
45000,15.653300000000002
50000,15.350699999999998
55000,13.9836
60000,11.3371
65000,9.350950000000001
70000,6.20259
75000,3.7507
80000,1.37433
85000,-2.92384
90000,-3.90911
95000,-6.72828
100000,-10.030800000000001
105000,-12.2551
110000,-14.3361
115000,-16.4023
120000,-18.6136
125000,0.0
130000,0.0
135000,-21.546799999999998
140000,-22.1348
145000,-22.1503
